Feature,Importance
Usable_Battery_kWh,0.7895710755444628
Slope_%,0.08560033537643108
Speed_kmh,0.01766045889684915
Battery_Temp_Deviation,0.016501064806719146
Battery_State_%,0.013151778688939885
Speed_x_Slope,0.009013302177448777
Abs_Slope,0.008106437319123718
Battery_Temperature_C,0.006630987148076991
Aggressive_Accel,0.006342701866756577
Vehicle_Weight_kg,0.005258529853070015
Energy_Consumption_kWh,0.0042558989395415775
Weight_per_kWh,0.003665399790507102
Tire_Pressure_psi,0.0032471397586419514
Wind_Speed_ms,0.0030055753832119877
Acceleration_ms2,0.002923531249977801
